Name,City,State,Code
Hartsfield–Jackson Atlanta International Airport,Atlanta,GA,ATL
Los Angeles International Airport,Los Angeles,CA,LAX
O'Hare International Airport,Chicago,IL,ORD
Dallas/Fort Worth International Airport,Dallas,TX,DFW
Denver International Airport,Denver,CO,DEN
John F. Kennedy International Airport,New York City,NY,JFK
San Francisco International Airport,San Francisco,CA,SFO
Seattle–Tacoma International Airport,Seattle,WA,SEA
McCarran International Airport,Los Vegas,NV,LAS
Orlando International Airport,Orlando,FL,MCO
